Country,Region,Survey Type,Survey Name,Year(s),Organization,URL,Access
Kenya,East Africa,DHS,Kenya DHS,2008-09,KNBS / ICF,https://dhsprogram.com/what-we-do/survey/survey-display-301.cfm,Registration required
Kenya,East Africa,DHS,Kenya DHS,2014,KNBS / ICF,https://dhsprogram.com/publications/publication-fr308-dhs-final-reports.cfm,Registration required
Kenya,East Africa,DHS,Kenya DHS,2022,KNBS / ICF,https://dhsprogram.com/publications/publication-fr380-dhs-final-reports.cfm,Registration required
Kenya,East Africa,MICS,Kenya MICS (subnational rounds),2007-2014,KNBS / UNICEF,https://mics.unicef.org/surveys,Application required
Kenya,East Africa,HIES,Kenya Integrated Household Budget Survey (KIHBS),2005-06,KNBS,https://statistics.knbs.or.ke/nada/index.php/catalog/KIHBS,Application required
Kenya,East Africa,HIES,Kenya Integrated Household Budget Survey (KIHBS),2015-16,KNBS,https://statistics.knbs.or.ke/nada/index.php/catalog/13,Application required
Kenya,East Africa,HIES,Kenya Integrated Household Budget Survey (KIHBS),2025-26,KNBS,https://www.knbs.or.ke/2025-26-kenya-integrated-household-budget-survey-kihbs/,In progress
Kenya,East Africa,Nutrition,Kenya National Micronutrient Survey (KNMS),2011,Ministry of Health / KNBS,http://www.nutritionhealth.or.ke/,Report public
Kenya,East Africa,Nutrition,SMART County-Level Nutrition Surveys (ASAL),2008-ongoing,Ministry of Health / UNICEF / WFP,http://nutritionhealth.or.ke/reports-capacity-assessment-reports/smart-survey-reports/,Reports public
Kenya,East Africa,Food Security,CFSVA,2016,WFP / KNBS,https://reliefweb.int/report/kenya/comprehensive-food-security-and-vulnerability-analysis-cfsva-kenya-2016,Report public
Kenya,East Africa,Food Security,IPC Acute Food Insecurity,Ongoing since 2011,IPC partners,https://www.ipcinfo.org/ipcinfo-website/where-what/eastern-africa/en/,Public
Kenya,East Africa,Agriculture,Kenya Census of Agriculture (Pilot),2024-25,KNBS,https://www.knbs.or.ke/reports/2024-25-kenya-census-of-agriculture-pilot-report/,Report public
Kenya,East Africa,FTF ZOI,FTF Northern Kenya ZOI Baseline,2013,USAID,https://catalog.data.gov/dataset/feed-the-future-northern-kenya-zone-of-influence-survey-baseline,Public download
Kenya,East Africa,FTF ZOI,FTF Kenya ZOI Interim,2015-16,USAID,https://www.feedthefuture.gov/resource/feed-the-future-kenya-zone-of-influence-interim-assessment-report/,Report public
Kenya,East Africa,FTF ZOI,FTF Kenya ZOI Endline/Phase 2 Baseline,2018-19,USAID,https://pdf.usaid.gov/pdf_docs/PA00ZH96.pdf,Report public; data via DDL
Ethiopia,East Africa,DHS,Ethiopia DHS,2005,CSA / ICF,https://dhsprogram.com/countries/Country-Main.cfm?ctry_id=65,Registration required
Ethiopia,East Africa,DHS,Ethiopia DHS,2011,CSA / ICF,https://dhsprogram.com/countries/Country-Main.cfm?ctry_id=65,Registration required
Ethiopia,East Africa,DHS,Ethiopia DHS,2016,CSA / ICF,https://dhsprogram.com/publications/publication-fr328-dhs-final-reports.cfm,Registration required
Ethiopia,East Africa,DHS,Ethiopia Mini DHS,2019,EPHI / ICF,https://dhsprogram.com/publications/publication-FR363-DHS-Final-Reports.cfm,Registration required
Ethiopia,East Africa,DHS,Ethiopia DHS,2024-25,ESS / ICF,https://dhsprogram.com/pubs/pdf/PR163/PR163.pdf,Key indicators published; full data forthcoming
Ethiopia,East Africa,LSMS-ISA,Ethiopia Rural Socioeconomic Survey (ERSS) Wave 1,2011-12,CSA / World Bank,https://microdata.worldbank.org/index.php/catalog/lsms,Public download
Ethiopia,East Africa,LSMS-ISA,Ethiopia Socioeconomic Survey (ESS) Wave 2,2013-14,CSA / World Bank,https://microdata.worldbank.org/index.php/catalog/2247,Public download
Ethiopia,East Africa,LSMS-ISA,Ethiopia Socioeconomic Survey (ESS) Wave 3,2015-16,CSA / World Bank,https://microdata.worldbank.org/index.php/catalog/2783,Public download
Ethiopia,East Africa,LSMS-ISA,Ethiopia Socioeconomic Survey (ESS) Wave 4,2018-19,CSA / World Bank,https://microdata.worldbank.org/index.php/catalog/3823,Public download
Ethiopia,East Africa,LSMS-ISA,Ethiopia Socio-Economic Panel Survey (ESPS) Wave 5,2021-22,ESS / World Bank,https://microdata.worldbank.org/index.php/catalog/6161,Public download
Ethiopia,East Africa,HIES,Household Income Consumption and Expenditure Survey (HICES),2004-05,CSA,https://catalog.ihsn.org/index.php/catalog/161,Application required
Ethiopia,East Africa,HIES,Household Consumption Expenditure Survey (HCE),2010-11,CSA,https://catalog.ihsn.org/index.php/catalog/3123,Application required
Ethiopia,East Africa,HIES,Household Consumption Expenditure Survey (HCE),2015-16,CSA,https://catalog.ihsn.org/catalog/9245,Application required
Ethiopia,East Africa,Nutrition,National Food Consumption Survey (NFCS),2011,EPHI,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/O5MOKD,Public download
